name;category;id
Standby Hydraulic: Low Quantity/Low Pressure Indicators;"OVERHEAD PREPARATION
";1
FMC;FORWARD PANEL & PEDESTAL;2
Fuel Pump Switches;BEFORE PUSHBACK / READY FOR PUSHBACK;3
Pack Switches;ENGINE START;4
Engine Generator Switches (1 & 2);AFTER ENGINE START;5
Align IRS;PREFLIGHT & AFT OVERHEAD;6
AC Voltmeter Selector;PREFLIGHT & AFT OVERHEAD;7
APU Generator Switches;PREFLIGHT & AFT OVERHEAD;8
Engine / APU Fire Warning System & Extinguishers;PREFLIGHT & AFT OVERHEAD;9
Stall Warning (1 & 2);PREFLIGHT & AFT OVERHEAD;10
LE DEVICES;PREFLIGHT & AFT OVERHEAD;11
Air Conditioning Selector (Cont/Fwd/Aft);OVERHEAD PREPARATION;12
Navigation Display Source;OVERHEAD PREPARATION;13
Ignition Selector Switch;OVERHEAD PREPARATION;14
Wing/Body OVHT;OVERHEAD PREPARATION;15
Recirculation Fans (Left & Right);OVERHEAD PREPARATION;16
Yaw Damper Switch;OVERHEAD PREPARATION;17
APU Bleed Switch;OVERHEAD PREPARATION;18
Trim Air;OVERHEAD PREPARATION;19
Alternate Flaps Control Switch;OVERHEAD PREPARATION;20
DC Voltmeter TR1, TR2, TR3;"OVERHEAD PREPARATION
";21
No Smoking Sign;OVERHEAD PREPARATION;22
Window Heat (Overheat & Power);OVERHEAD PREPARATION;23
CAB / UTIL;OVERHEAD PREPARATION;24
IFE / PASS;OVERHEAD PREPARATION;25
Air Conditioning Panel (Air Temp / Pass Cab);OVERHEAD PREPARATION;26
Alternate Flaps Switch;OVERHEAD PREPARATION;27
Flight Control Switches (A & B);"OVERHEAD PREPARATION
";28
Fuel Pumps;OVERHEAD PREPARATION;29
Lavatory Indicator Light;OVERHEAD PREPARATION;30
Engine Bleed Switches (1 & 2);OVERHEAD PREPARATION;31
Audio Panel;FORWARD PANEL & PEDESTAL;32
Right Engine Start Switch;ENGINE START;33
Reverse Levers;FORWARD PANEL & PEDESTAL;34
N1 SET;FORWARD PANEL & PEDESTAL;35
NAV Radios;FORWARD PANEL & PEDESTAL;36
Left Engine Start Switch (After Return To AUTO);ENGINE START;37
Seat Belt Sign;BEFORE PUSHBACK / READY FOR PUSHBACK;38
Hydraulic A Pump Switches;AFTER ENGINE START;39
Heading Selector;FORWARD PANEL & PEDESTAL;40
Taxi Clearance;AFTER ENGINE START;41
Pack Switches (Left & Right);AFTER ENGINE START;42
AC Voltmeter Selector;AFTER ENGINE START;43
Hydraulic B Pump Switches;BEFORE PUSHBACK / READY FOR PUSHBACK;44
Main Panel & Lower DU Selectors;FORWARD PANEL & PEDESTAL;45
Ground Equipment;BEFORE PUSHBACK / READY FOR PUSHBACK;46
PFD / EADI;FORWARD PANEL & PEDESTAL;47
Autopilot Engage Switches;FORWARD PANEL & PEDESTAL;48
Stabilizer Trim (Confirm Green Band);BEFORE PUSHBACK / READY FOR PUSHBACK;49
Engine Start Levers;FORWARD PANEL & PEDESTAL;50
Isolation Valve;ENGINE START;51
Hydraulic System;AFTER ENGINE START;52
Autopilot Disengage Bar;FORWARD PANEL & PEDESTAL;53
Left Engine Fuel Cutoff Lever;ENGINE START;54
APU;AFTER ENGINE START;55
Hydraulic A Pump Switches;BEFORE PUSHBACK / READY FOR PUSHBACK;56
ND / EHSI;FORWARD PANEL & PEDESTAL;57
Flight Deck Door & Windows;BEFORE PUSHBACK / READY FOR PUSHBACK;58
Thrust Levers;FORWARD PANEL & PEDESTAL;59
Auto Brake;FORWARD PANEL & PEDESTAL;60
EICAS;FORWARD PANEL & PEDESTAL;61
Air Conditioning Panel;PREFLIGHT & AFT OVERHEAD;62
Standby Power Disconnect (1 & 2);PREFLIGHT & AFT OVERHEAD;63
AC Voltmeter Selector;PREFLIGHT & AFT OVERHEAD;64
Emergency Exit Lights;PREFLIGHT & AFT OVERHEAD;65
Electric Hydraulic Pumps;PREFLIGHT & AFT OVERHEAD;66
Flaps Lever;PREFLIGHT & AFT OVERHEAD;67
Ground Power;PREFLIGHT & AFT OVERHEAD;68
Left Forward Fuel Pump;PREFLIGHT & AFT OVERHEAD;69
Equipment Cooling Supply & Exhaust Switches;PREFLIGHT & AFT OVERHEAD;70
Standby Power;PREFLIGHT & AFT OVERHEAD;71
Engine Bleed Switches (1 & 2);PREFLIGHT & AFT OVERHEAD;72
APU Bleed Switch;PREFLIGHT & AFT OVERHEAD;73
Landing Gear Lever;PREFLIGHT & AFT OVERHEAD;74
IRS Display (DSPL SEL);PREFLIGHT & AFT OVERHEAD;75
APU Bleed Switch;PREFLIGHT & AFT OVERHEAD;76
No Smoking Sign;PREFLIGHT & AFT OVERHEAD;77
Position Lights;PREFLIGHT & AFT OVERHEAD;78
DC Voltmeter Selector;PREFLIGHT & AFT OVERHEAD;79
Mach Airspeed Warning (1 & 2);PREFLIGHT & AFT OVERHEAD;80
Bus Transfer;PREFLIGHT & AFT OVERHEAD;81
Oxygen (Crew & Pass);PREFLIGHT & AFT OVERHEAD;82
Recirculation Fans (Left & Right);PREFLIGHT & AFT OVERHEAD;83
APU;PREFLIGHT & AFT OVERHEAD;84
Seatbelt Sign;PREFLIGHT & AFT OVERHEAD;85
Battery Switch;PREFLIGHT & AFT OVERHEAD;86
Probe Heat (Left & Right);OVERHEAD PREPARATION;87
Emergency Exit Lights;OVERHEAD PREPARATION;88
Seatbelt Sign;OVERHEAD PREPARATION;89
Wing Anti Ice;OVERHEAD PREPARATION;90
Engine Start Switches;OVERHEAD PREPARATION;91
Exterior Lights;OVERHEAD PREPARATION;92
Engine Anti Ice;OVERHEAD PREPARATION;93
VHF NAV & IRS Switches;OVERHEAD PREPARATION;94
Equipment Cooling Supply & Exhaust Switches;OVERHEAD PREPARATION;95
Pressurization Panel;OVERHEAD PREPARATION;96
DC Voltmeter Selector;OVERHEAD PREPARATION;97
Wiper (Left & Right);OVERHEAD PREPARATION;98
Packs (Left & Right);OVERHEAD PREPARATION;99
Electric Hydraulic Pumps (1 & 2);OVERHEAD PREPARATION;100
Spoiler Switches (A & B);OVERHEAD PREPARATION;101
