dep_delay;arr_delay;cancelled;cancellation_code;id
-1;15;0;"";160494
-1;17;0;"";257173
64;65;0;"";143873
-1;15;0;"";229122
73;58;0;"";285291
131;132;0;"";285292
91;90;0;"";285337
224;220;0;"";200929
54;44;0;"";160495
17;19;0;"";257178
59;49;0;"";229130
18;24;0;"";257179
43;30;0;"";201005
36;42;0;"";257181
47;39;0;"";201006
55;55;0;"";200940
32;27;0;"";201007
12;15;0;"";285293
27;45;0;"";285294
32;16;0;"";229125
15;15;0;"";171859
68;49;0;"";148925
105;111;0;"";143874
49;30;0;"";229139
545;533;0;"";200943
34;23;0;"";200944
18;20;0;"";200945
356;362;0;"";229140
-5;47;0;"";171860
-11;40;0;"";257187
14;18;0;"";257188
46;32;0;"";200947
11;16;0;"";257269
31;26;0;"";200949
7;29;0;"";229143
197;191;0;"";200951
41;25;0;"";257199
-3;18;0;"";229145
6;37;0;"";200952
34;22;0;"";257201
2;24;0;"";201009
37;31;0;"";229146
13;29;0;"";200954
0;17;0;"";172612
52;39;0;"";285301
26;24;0;"";200955
75;63;0;"";200956
76;67;0;"";229147
39;41;0;"";172977
212;195;0;"";171861
6;31;0;"";285302
82;75;0;"";200958
27;21;0;"";257205
162;148;0;"";200960
16;21;0;"";257206
57;50;0;"";285305
215;220;0;"";257207
40;50;0;"";229203
47;30;0;"";200963
4;30;0;"";229204
58;70;0;"";229150
-1;16;0;"";200966
29;21;0;"";200967
57;40;0;"";229151
0;33;0;"";229209
5;23;0;"";229152
13;27;0;"";257270
80;141;0;"";257211
90;76;0;"";285308
34;31;0;"";229154
68;56;0;"";229156
41;34;0;"";200969
21;16;0;"";285310
28;22;0;"";201010
34;16;0;"";200971
10;48;0;"";201011
-5;37;0;"";257214
68;60;0;"";229158
46;31;0;"";257215
33;24;0;"";172980
44;42;0;"";229159
35;22;0;"";200972
48;55;0;"";285312
443;434;0;"";229160
60;36;0;"";257216
148;131;0;"";200973
27;23;0;"";200974
35;59;0;"";200975
-6;17;0;"";285314
885;871;0;"";154792
19;29;0;"";229163
25;28;0;"";143876
21;25;0;"";257219
27;25;0;"";257203
98;96;0;"";257220
39;19;0;"";285316
149;141;0;"";257221
40;34;0;"";257223
62;50;0;"";166042
31;21;0;"";200977
180;195;0;"";200978
25;17;0;"";200979
1;15;0;"";285317
1;36;0;"";285318
2;54;0;"";257271
-3;-6;0;"";229164
29;24;0;"";200981
51;48;0;"";229165
1;58;0;"";257226
61;68;0;"";229166
89;76;0;"";229167
134;117;0;"";229202
41;51;0;"";166043
31;24;0;"";257273
21;17;0;"";285320
84;72;0;"";257229
37;51;0;"";257230
140;145;0;"";200985
20;17;0;"";154793
41;66;0;"";285321
-4;58;0;"";172981
78;74;0;"";285322
50;74;0;"";229169
7;17;0;"";285323
18;15;0;"";229170
255;253;0;"";146437
-3;23;0;"";229206
44;26;0;"";285324
82;99;0;"";172982
112;105;0;"";257209
21;17;0;"";257233
195;171;0;"";257234
14;18;0;"";285325
74;65;0;"";257236
16;18;0;"";171856
37;39;0;"";200989
3;26;0;"";285327
40;26;0;"";143877
-7;46;0;"";229161
53;64;0;"";257238
49;43;0;"";257240
14;22;0;"";229177
-4;23;0;"";257241
167;143;0;"";285330
49;32;0;"";285331
56;50;0;"";229178
32;23;0;"";200994
433;460;0;"";200996
978;972;0;"";229179
20;15;0;"";200998
38;23;0;"";172229
116;123;0;"";144614
34;43;0;"";257244
43;51;0;"";285339
47;30;0;"";171857
-4;21;0;"";201000
9;16;0;"";285342
52;35;0;"";285397
35;35;0;"";257247
78;67;0;"";285398
213;196;0;"";229180
45;37;0;"";285345
61;64;0;"";171858
0;35;0;"";285400
-1;39;0;"";229182
74;65;0;"";285346
51;33;0;"";144615
32;18;0;"";201003
5;21;0;"";257251
145;143;0;"";257253
103;106;0;"";285399
-2;29;0;"";201004
17;37;0;"";285401
43;28;0;"";285349
111;119;0;"";143528
23;30;0;"";143880
17;18;0;"";229186
46;46;0;"";285350
18;20;0;"";229188
31;18;0;"";166044
114;90;0;"";285351
18;16;0;"";257275
125;128;0;"";229189
42;34;0;"";257259
118;121;0;"";257260
72;82;0;"";229190
81;95;0;"";257261
63;49;0;"";285352
37;20;0;"";201012
49;43;0;"";257262
16;29;0;"";285402
20;28;0;"";285354
-6;17;0;"";172230
50;36;0;"";257263
31;24;0;"";257264
14;18;0;"";171867
35;34;0;"";229195
17;19;0;"";257266
19;15;0;"";201015
302;0;1;C;143036
25;17;0;"";285357
93;112;0;"";201016
8;46;0;"";285358
18;24;0;"";229197
25;16;0;"";257267
60;41;0;"";201017
62;48;0;"";257277
318;369;0;"";201018
-1;16;0;"";257279
48;64;0;"";229200
32;52;0;"";229201
50;42;0;"";257280
37;43;0;"";229210
-7;30;0;"";201019
49;46;0;"";285404
157;150;0;"";201020
-3;43;0;"";201080
35;28;0;"";201021
25;29;0;"";257282
2;17;0;"";257285
19;45;0;"";201081
14;51;0;"";201022
12;29;0;"";201023
19;24;0;"";257287
72;77;0;"";201025
24;21;0;"";257288
213;228;0;"";201026
17;25;0;"";201027
45;39;0;"";201082
-5;20;0;"";229217
23;18;0;"";257352
-12;31;0;"";257290
0;18;0;"";285365
5;19;0;"";229280
-6;29;0;"";257292
16;22;0;"";285366
94;122;0;"";285367
31;34;0;"";285369
40;25;0;"";143882
34;64;0;"";257294
287;269;0;"";149194
358;348;0;"";201031
103;92;0;"";257295
67;69;0;"";257296
71;88;0;"";201034
-1;21;0;"";171868
56;54;0;"";229219
0;15;0;"";285371
147;153;0;"";201035
11;52;0;"";285372
43;32;0;"";229221
-3;17;0;"";172232
39;45;0;"";257299
54;63;0;"";201083
47;34;0;"";285373
25;25;0;"";143529
97;98;0;"";285406
19;21;0;"";257301
18;26;0;"";171446
17;18;0;"";229224
68;62;0;"";229225
71;38;0;"";257305
66;50;0;"";229226
55;52;0;"";144273
32;24;0;"";201036
-8;17;0;"";201037
34;35;0;"";201038
39;23;0;"";201039
125;112;0;"";257306
35;20;0;"";201042
9;17;0;"";201043
-9;22;0;"";201044
-1;-21;0;"";285375
112;97;0;"";229227
36;25;0;"";229228
41;28;0;"";285376
-4;22;0;"";201045
80;60;0;"";229229
21;20;0;"";285377
-9;18;0;"";171448
119;104;0;"";257303
140;141;0;"";257309
26;20;0;"";144616
16;20;0;"";201047
-7;19;0;"";285380
38;20;0;"";285408
34;23;0;"";229233
32;41;0;"";229234
45;54;0;"";285381
30;16;0;"";201049
37;35;0;"";285382
134;123;0;"";201051
-1;17;0;"";257313
272;285;0;"";229236
42;29;0;"";229237
309;306;0;"";201052
10;20;0;"";285384
39;32;0;"";201053
27;40;0;"";143530
47;33;0;"";144617
33;54;0;"";229238
85;130;0;"";148770
46;32;0;"";229239
29;18;0;"";285385
37;19;0;"";229240
73;64;0;"";285386
29;26;0;"";201054
11;17;0;"";172987
21;17;0;"";285387
50;39;0;"";257315
33;21;0;"";229242
48;44;0;"";229243
34;18;0;"";285388
30;23;0;"";229244
44;38;0;"";229245
2;5;0;"";229246
26;45;0;"";201056
163;169;0;"";285389
85;79;0;"";257320
114;98;0;"";257321
17;27;0;"";257322
86;67;0;"";201058
88;69;0;"";229249
47;57;0;"";257323
24;17;0;"";229250
22;43;0;"";229251
25;21;0;"";285390
-3;21;0;"";229252
93;86;0;"";229253
17;18;0;"";257324
65;70;0;"";257325
-7;-18;0;"";229254
58;52;0;"";143531
64;47;0;"";201059
27;27;0;"";285392
53;35;0;"";285393
71;78;0;"";285394
48;28;0;"";201062
17;34;0;"";201063
-3;26;0;"";229257
88;100;0;"";285395
206;202;0;"";257329
-4;16;0;"";257353
39;49;0;"";257331
27;21;0;"";171863
285;302;0;"";285396
53;36;0;"";201068
37;32;0;"";285409
75;60;0;"";285410
84;103;0;"";229259
-6;-20;0;"";257334
100;91;0;"";285412
5;20;0;"";257335
28;23;0;"";201069
34;20;0;"";229262
38;65;0;"";285478
-1;21;0;"";201070
58;41;0;"";257336
99;107;0;"";285414
147;165;0;"";201071
202;187;0;"";201072
24;18;0;"";171870
-3;23;0;"";171865
83;79;0;"";285415
-3;20;0;"";201073
51;51;0;"";144274
127;140;0;"";201074
-5;19;0;"";171866
41;20;0;"";201075
60;50;0;"";144618
14;18;0;"";201076
-4;21;0;"";201159
142;127;0;"";148772
105;80;0;"";285418
103;110;0;"";257339
25;16;0;"";285421
26;22;0;"";257341
53;47;0;"";201084
14;16;0;"";257342
58;47;0;"";285424
0;0;1;A;145751
72;68;0;"";229266
72;73;0;"";257344
76;70;0;"";257345
41;29;0;"";257346
102;109;0;"";257347
29;35;0;"";257348
15;35;0;"";143883
58;80;0;"";143533
24;18;0;"";285427
-8;38;0;"";172613
27;26;0;"";201086
-1;16;0;"";160497
63;77;0;"";229270
30;32;0;"";201087
11;30;0;"";172231
34;28;0;"";257350
51;84;0;"";201088
25;25;0;"";257355
37;29;0;"";285480
61;63;0;"";201089
70;57;0;"";285430
57;49;0;"";257356
30;19;0;"";257357
18;18;0;"";257358
50;42;0;"";285431
16;30;0;"";285432
40;33;0;"";201091
213;216;0;"";201092
329;294;0;"";172993
42;27;0;"";143534
145;128;0;"";148771
28;21;0;"";201093
50;61;0;"";285433
27;26;0;"";257361
79;90;0;"";285435
5;-3;0;"";285436
50;33;0;"";229273
83;68;0;"";257364
