flight_id;airport_id;airport_type
144406;5;departure
144670;23;departure
149707;32;departure
160531;50;departure
173205;50;departure
201298;82;departure
201298;62;departure
271596;52;departure
142796;14;departure
142799;93;departure
142800;18;departure
142801;1;departure
142804;49;departure
142806;32;departure
142807;57;departure
142812;52;departure
142816;18;departure
142818;47;departure
142820;54;departure
142821;50;departure
142822;35;departure
142823;49;departure
142825;82;departure
142825;62;departure
142828;3;departure
142832;22;departure
142834;73;departure
142835;57;departure
142836;23;departure
142837;30;departure
142839;84;departure
142841;81;departure
142843;24;departure
142845;31;departure
142846;73;departure
142847;49;departure
142849;75;departure
142850;2;departure
142851;34;departure
142855;21;departure
142856;30;departure
142859;80;departure
142864;37;departure
142867;16;departure
142868;50;departure
142870;67;departure
142874;18;departure
142879;19;departure
142880;6;departure
142881;74;departure
142883;52;departure
142884;12;departure
142885;80;departure
142886;73;departure
142890;73;departure
142894;30;departure
142896;23;departure
142899;80;departure
142900;70;departure
142901;86;departure
142902;54;departure
142905;80;departure
142910;36;departure
142915;51;departure
142916;32;departure
142917;65;departure
142918;79;departure
142925;50;departure
142926;58;departure
142928;12;departure
142929;49;departure
142930;29;departure
142931;22;departure
142933;76;departure
142934;36;departure
142935;49;departure
142936;42;departure
142938;43;departure
142940;23;departure
142942;42;departure
142943;66;departure
142945;38;departure
142949;40;departure
142950;80;departure
142953;36;departure
142955;36;departure
142956;72;departure
142960;50;departure
142961;50;departure
142962;3;departure
142963;96;departure
142964;58;departure
142966;4;departure
142967;19;departure
142969;54;departure
142971;57;departure
142972;96;departure
142973;80;departure
142974;38;departure
142975;65;departure
142979;17;departure
142980;65;departure
142981;50;departure
142982;30;departure
142986;97;departure
142987;80;departure
142988;13;departure
142990;54;departure
142996;38;departure
142999;49;departure
143001;35;departure
143002;73;departure
143005;42;departure
143008;36;departure
143011;6;departure
143012;31;departure
143013;36;departure
143014;84;departure
143015;96;departure
143022;58;departure
143023;65;departure
143024;38;departure
143025;87;departure
143026;82;departure
143026;62;departure
143027;16;departure
143030;87;departure
